Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Punts,Gross Punting Yards,Net Punting Yards,Longest Punt,Gross Punting Average,Net Punting Average,Punts Blocked,Out of Bounds Punts,Downed Punts,Punts Inside 20 Yard Line,Touchbacks,Fair Catches,Punts Returned,Yards Returned on Punts,TDs Returned on Punt
ryanallen/2539640,"Allen, Ryan",P,2018,Preseason,1,08/09,Home,WAS,W,26 to 17,1,0,6,304,238,57,50.7,39.7,0,1,0,2,0,0,5,66,0
ryanallen/2539640,"Allen, Ryan",P,2018,Preseason,2,08/16,Home,PHI,W,37 to 20,1,0,7,341,312,58,48.7,44.6,0,0,0,2,0,1,6,29,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,1,08/10,Home,JAX,L,24 to 31,1,0,3,153,105,53,51.0,35.0,0,1,0,1,0,0,2,48,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,2,08/19,Away,HOU,L,23 to 27,1,0,5,216,197,56,43.2,39.4,0,0,2,2,0,1,2,19,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,3,08/25,Away,DET,W,30 to 28,1,0,4,193,164,57,48.3,41.0,0,1,0,2,0,0,3,29,0
ryanallen/2539640,"Allen, Ryan",P,2017,Preseason,4,08/31,Home,NYG,L,38 to 40,1,0,3,129,111,47,43.0,37.0,0,0,0,0,0,1,2,18,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,1,09/07,Home,KC,L,27 to 42,1,0,6,242,232,54,40.3,38.7,0,2,0,2,0,0,4,10,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,2,09/17,Away,NO,W,36 to 20,1,0,3,111,95,57,37.0,31.7,0,1,1,1,0,0,1,16,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,3,09/24,Home,HOU,W,36 to 33,1,0,6,272,232,60,45.3,38.7,0,0,1,3,1,1,3,20,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,4,10/01,Home,CAR,L,30 to 33,1,0,3,135,110,49,45.0,36.7,0,0,1,0,0,0,2,25,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,5,10/05,Away,TB,W,19 to 14,1,0,4,188,159,55,47.0,39.8,0,0,1,1,0,0,3,29,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,6,10/15,Away,NYJ,W,24 to 17,1,0,4,160,162,48,40.0,40.5,0,0,1,1,0,1,2,-2,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,7,10/22,Home,ATL,W,23 to 7,1,0,2,100,80,57,50.0,40.0,0,0,0,0,1,1,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,8,10/29,Home,LAC,W,21 to 13,1,0,3,130,138,57,43.3,46.0,0,0,1,3,0,1,1,-8,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,10,11/12,Away,DEN,W,41 to 16,1,0,1,43,43,43,43.0,43.0,0,0,0,0,0,0,1,0,0
