Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
jaelonacklin/2561294,"Acklin, Jaelon",WR,2018,Preseason,0,08/02,Home,CHI,W,17 to 16,1,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Preseason,1,08/09,Home,TEN,W,31 to 17,1,1,2,57,28.5,48,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2018,Preseason,2,08/16,Home,PIT,W,51 to 34,1,1,1,27,27.0,27,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Preseason,1,08/10,Home,PHI,W,24 to 9,1,1,2,26,13.0,18,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Preseason,2,08/19,Away,WAS,W,21 to 17,1,1,1,6,6.0,6,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Preseason,3,08/26,Away,DEN,L,17 to 20,1,1,1,5,5.0,5,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Preseason,4,08/31,Home,LA,W,24 to 10,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,1,09/10,Home,SEA,W,17 to 9,1,1,3,47,15.7,21,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,2,09/17,Away,ATL,L,23 to 34,1,1,8,99,12.4,33T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,3,09/24,Home,CIN,W,27 to 24,1,1,3,60,20.0,41,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,4,09/28,Home,CHI,W,35 to 14,1,1,2,13,6.5,8,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,5,10/08,Away,DAL,W,35 to 31,1,1,7,66,9.4,14,2,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,6,10/15,Away,MIN,L,10 to 23,1,1,5,54,10.8,19,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,7,10/22,Home,NO,L,17 to 26,1,1,2,12,6.0,8,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,9,11/06,Home,DET,L,17 to 30,1,1,7,53,7.6,9,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,10,11/12,Away,CHI,W,23 to 16,1,1,5,90,18.0,42,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,11,11/19,Home,BAL,L,0 to 23,1,1,8,126,15.8,33,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,12,11/26,Away,PIT,L,28 to 31,1,1,5,82,16.4,55T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,13,12/03,Home,TB,W,26 to 20,1,1,4,42,10.5,14,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,14,12/10,Away,CLE,W,27 to 21,1,1,10,84,8.4,25T,2,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,15,12/17,Away,CAR,L,24 to 31,1,1,5,57,11.4,13T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,16,12/23,Home,MIN,L,0 to 16,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,17,12/31,Away,DET,L,11 to 35,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Preseason,1,08/12,Home,CLE,W,17 to 11,1,1,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Preseason,2,08/18,Home,OAK,W,20 to 12,1,1,2,37,18.5,31,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Preseason,3,08/26,Away,SF,W,21 to 10,1,1,1,8,8.0,8,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Preseason,4,09/01,Away,KC,L,7 to 17,1,1,2,20,10.0,11,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,1,09/11,Away,JAX,W,27 to 23,1,1,3,50,16.7,29T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,2,09/18,Away,MIN,L,14 to 17,1,1,3,26,8.7,13,0,--,--,--,--,--,1,1
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,3,09/25,Home,DET,W,34 to 27,1,0,2,23,11.5,14T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,5,10/09,Home,NYG,W,23 to 16,1,1,5,85,17.0,29T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,6,10/16,Home,DAL,L,16 to 30,1,1,2,34,17.0,22,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,7,10/20,Home,CHI,W,26 to 10,1,1,13,132,10.2,24,2,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,8,10/30,Away,ATL,L,32 to 33,1,1,12,74,6.2,22,0,--,--,--,--,--,1,0
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,9,11/06,Home,IND,L,26 to 31,1,1,4,41,10.3,40,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,10,11/13,Away,TEN,L,25 to 47,1,1,6,156,26.0,46,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,11,11/20,Away,WAS,L,24 to 42,1,1,3,42,14.0,37,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,12,11/28,Away,PHI,W,27 to 13,1,1,5,113,22.6,50,2,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,13,12/04,Home,HOU,W,21 to 13,1,1,1,17,17.0,17,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,14,12/11,Home,SEA,W,38 to 10,1,1,4,104,26.0,66T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,15,12/18,Away,CHI,W,30 to 27,1,1,2,25,12.5,19,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,16,12/24,Home,MIN,W,38 to 25,1,1,4,44,11.0,20T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Regular Season,17,01/01,Away,DET,W,31 to 24,1,1,6,31,5.2,9T,2,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Postseason,18,01/08,Home,NYG,W,38 to 13,1,1,8,125,15.6,31,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2016,Postseason,19,01/15,Away,DAL,W,34 to 31,1,1,5,76,15.2,32,0,--,--,--,--,--,--,--
