Player Id,Name,Current Status,Years Played
ameerabdullah/2552374,"Abdullah, Ameer",Active,
odayaboushi/2539331,"Aboushi, Oday",Active,
samacho/2495101,"Acho, Sam",Active,
kennethacker/2549981,"Acker, Kenneth",Active,
jaelonacklin/2561294,"Acklin, Jaelon",Injured reserve,
andrewadams/2556456,"Adams, Andrew",Active,
keionadams/2558729,"Adams, Keion",Active,
davanteadams/2543495,"Adams, Davante",Active,
jamaladams/2557979,"Adams, Jamal",Active,
jerelladams/2555311,"Adams, Jerell",Active,
joshadams/2560949,"Adams, Josh",Active,
matthewadams/2561149,"Adams, Matthew",Active,
mikeadams/2505708,"Adams, Mike",Active,
montraviusadams/2557876,"Adams, Montravius",Active,
tonyadams/2561295,"Adams, Tony",Active,
tyrelladams/2553898,"Adams, Tyrell",Active,
jahleeladdae/2541958,"Addae, Jahleel",Active,
marioaddison/2530474,"Addison, Mario",Active,
quincyadeboyejo/2558906,"Adeboyejo, Quincy",Active,
olaadeniyi/2560950,"Adeniyi, Ola",Active,
patafriyie/2561572,"Afriyie, Pat",Active,
nelsonagholor/2552600,"Agholor, Nelson",Active,
jamalagnew/2558821,"Agnew, Jamal",Active,
robertoaguayo/2555408,"Aguayo, Roberto",Active,
carltonagudosi/2559131,"Agudosi, Carlton",Active,
kamaraiken/2530660,"Aiken, Kamar",Active,
waltaikens/2543724,"Aikens, Walt",Active,
jayajayi/2552582,"Ajayi, Jay",Active,
jordanakins/2560951,"Akins, Jordan",Active,
brysonalbright/2556458,"Albright, Bryson",Other,
adonisalexander/2561644,"Alexander, Adonis",Active,
deontezalexander/2561573,"Alexander, Deontez",Other,
d.j.alexander/2553442,"Alexander, D.J.",Active,
jairealexander/2560952,"Alexander, Jaire",Active,
lorenzoalexander/2506268,"Alexander, Lorenzo",Active,
mackensiealexander/2555177,"Alexander, Mackensie",Active,
mauricealexander/2550145,"Alexander, Maurice",Active,
kwonalexander/2552592,"Alexander, Kwon",Active,
vadalalexander/2555146,"Alexander, Vadal",Other,
robertalford/2539653,"Alford, Robert",Active,
rickyali'ifua/2559099,"Ali'ifua, Ricky",Active,
moalie-cox/2558832,"Alie-Cox, Mo",Active,
austinallen/2560953,"Allen, Austin",Active,
beauallen/2543884,"Allen, Beau",Active,
brandonallen/2555365,"Allen, Brandon",Active,
brianallen/2558237,"Allen, Brian",Active,
brianallen/2560954,"Allen, Brian",Active,
chaseallen/2559043,"Allen, Chase",Active,
dejonallen/2561176,"Allen, Dejon",Active,
dwayneallen/2533046,"Allen, Dwayne",Active,
jackallen/2556720,"Allen, Jack",Other,
javoriusallen/2552631,"Allen, Javorius",Active,
jonathanallen/2557844,"Allen, Jonathan",Active,
joshallen/2560955,"Allen, Josh",Active,
joshallen/2550472,"Allen, Josh",Active,
julianallen/2561481,"Allen, Julian",Injured reserve,
keenanallen/2540154,"Allen, Keenan",Active,
kyleallen/2561177,"Allen, Kyle",Active,
marcusallen/2560956,"Allen, Marcus",Active,
ricardoallen/2543850,"Allen, Ricardo",Active,
ryanallen/2539640,"Allen, Ryan",Active,
geronimoallison/2556460,"Allison, Geronimo",Active,
kikoalonso/2539935,"Alonso, Kiko",Active,
jacobalsadek/2561178,"Alsadek, Jacob",Active,
johnathanalston/2561520,"Alston, Johnathan",Active,
tysonalualu/496760,"Alualu, Tyson",Active,
jaceamaro/2543481,"Amaro, Jace",Active,
dannyamendola/2649,"Amendola, Danny",Active,
davidamerson/2540170,"Amerson, David",Active,
kofiamichia/2558855,"Amichia, Kofi",Active,
adrianamos/2552385,"Amos, Adrian",Active,
princeamukamara/2495108,"Amukamara, Prince",Active,
pelianau/2559442,"Anau, Peli",Active,
abdullahanderson/2561088,"Anderson, Abdullah",Active,
c.j.anderson/2540269,"Anderson, C.J.",Active,
dresanderson/2552413,"Anderson, Dres",Active,
henryanderson/2552272,"Anderson, Henry",Active,
jonathananderson/2553488,"Anderson, Jonathan",Active,
kianteanderson/2561647,"Anderson, Kiante",Active,
ryananderson/2557853,"Anderson, Ryan",Active,
robbyanderson/2556462,"Anderson, Robby",Active,
stephenanderson/2556463,"Anderson, Stephen",Active,
zaireanderson/2553489,"Anderson, Zaire",Active,
darrenandrews/2561133,"Andrews, Darren",Other,
davidandrews/2553632,"Andrews, David",Active,
joshandrews/2550277,"Andrews, Josh",Active,
markandrews/2560957,"Andrews, Mark",Active,
bryananger/2533000,"Anger, Bryan",Active,
eliankou/2559132,"Ankou, Eli",Active,
ezekielansah/2539931,"Ansah, Ezekiel",Active,
stephoneanthony/2552321,"Anthony, Stephone",Active,
alexanzalone/2558163,"Anzalone, Alex",Active,
troyapke/2560958,"Apke, Troy",Active,
eliapple/2555277,"Apple, Eli",Active,
alexarmah/2558833,"Armah, Alex",Active,
thurstonarmbrister/2553633,"Armbrister, Thurston",Active,
arikarmstead/2552493,"Armstead, Arik",Active,
terronarmstead/2540228,"Armstead, Terron",Active,
ray-rayarmstrong/2541792,"Armstrong, Ray-Ray",Active,
cornellarmstrong/2561147,"Armstrong, Cornell",Active,
dorancearmstrong/2560959,"Armstrong, Dorance",Active,
danarnold/2559385,"Arnold, Dan",Active,
