Player Id,Name,Current Status,Years Played
loganpaulsen/2507828,"Paulsen, Logan",Active,
da'ronpayne/2560834,"Payne, Da'Ron",Active,
donaldpayne/2559034,"Payne, Donald",Active,
charonepeake/2555477,"Peake, Charone",Active,
colbypearson/2559384,"Pearson, Colby",Active,
andruspeat/2552455,"Peat, Andrus",Active,
domatapekosr./2506925,"Peko, Domata Sr.",Active,
kylepeko/2556646,"Peko, Kyle",Active,
claudepelon/2556647,"Pelon, Claude",Other,
donaldpenn/2506706,"Penn, Donald",Active,
mikepennel/2550242,"Pennel, Mike",Active,
elijhaapenny/2556762,"Penny, Elijhaa",Active,
rashaadpenny/2560835,"Penny, Rashaad",Active,
jabrillpeppers/2557980,"Peppers, Jabrill",Active,
juliuspeppers/2505010,"Peppers, Julius",Active,
luisperez/2561124,"Perez, Luis",Active,
willpericak/2541738,"Pericak, Will",Active,
samajeperine/2558138,"Perine, Samaje",Active,
joshperkins/2556444,"Perkins, Josh",Active,
kentperkins/2558987,"Perkins, Kent",Active,
paulperkins/2555460,"Perkins, Paul",Other,
breshadperriman/2552597,"Perriman, Breshad",Active,
evanperrizo/2561258,"Perrizo, Evan",Active,
nickperry/2533048,"Perry, Nick",Active,
senoriseperry/2550633,"Perry, Senorise",Active,
denzelperryman/2552310,"Perryman, Denzel",Active,
mikeperson/2508140,"Person, Mike",Active,
nathanpeterman/2558191,"Peterman, Nathan",Active,
brianpeters/2552730,"Peters, Brian",Active,
coreypeters/496841,"Peters, Corey",Active,
jasonpeters/2505827,"Peters, Jason",Active,
marcuspeters/2552488,"Peters, Marcus",Active,
othapeters/2559228,"Peters, Otha",Active,
kevinpeterson/2556764,"Peterson, Kevin",Injured reserve,
marcuspeterson/2561681,"Peterson, Marcus",Other,
patrickpeterson/2495504,"Peterson, Patrick",Active,
dantepettis/2560836,"Pettis, Dante",Active,
brycepetty/2552369,"Petty, Bryce",Active,
ervinphilips/2561259,"Philips, Ervin",Active,
adrianphillips/2550842,"Phillips, Adrian",Active,
camphillips/2560838,"Phillips, Cam",Active,
carrollphillips/2559230,"Phillips, Carroll",Active,
dariusphillips/2560839,"Phillips, Darius",Active,
dashaunphillips/2550383,"Phillips, Dashaun",Active,
harrisonphillips/2560840,"Phillips, Harrison",Active,
johnphillips/71435,"Phillips, John",Active,
jordanphillips/2552492,"Phillips, Jordan",Active,
skylerphillips/2560841,"Phillips, Skyler",Active,
dariusphilon/2552676,"Philon, Darius",Active,
michaelpierce/2556650,"Pierce, Michael",Active,
olsenpierre/2553583,"Pierre, Olsen",Active,
kevinpierre-louis/2543563,"Pierre-Louis, Kevin",Active,
jasonpierre-paul/496843,"Pierre-Paul, Jason",Active,
eddypineiro/2560842,"Pineiro, Eddy",Active,
bradleypinion/2552711,"Pinion, Bradley",Active,
ericpinkins/2549978,"Pinkins, Eric",Active,
lenzypipkins/2558988,"Pipkins, Lenzy",Active,
