Player Id,Year,Position,Team,Games Played,Rushing Attempts,Rushing Attempts Per Game,Rushing Yards,Yards Per Carry,Rushing Yards Per Game,Rushing TDs,Longest Rushing Run,Rushing First Downs,Percentage of Rushing First Downs,Rushing More Than 20 Yards,Rushing More Than 40 Yards,Receptions,Receiving Yards,Yards Per Reception,Yards Per Game,Longest Reception,Receiving TDs,Receptions Longer than 20 Yards,Receptions Longer than 40 Yards,First Down Receptions,Fumbles,Fumbles Lost
dwayneallen/2533046,2017,TE,New England Patriots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,86.0,8.6,5.4,22.0,1.0,1.0,0.0,5.0,0.0,0.0
dwayneallen/2533046,2016,TE,Indianapolis Colts,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,406.0,11.6,29.0,23.0,6.0,4.0,0.0,25.0,1.0,0.0
dwayneallen/2533046,2015,TE,Indianapolis Colts,13.0,1.0,0.1,1.0,1.0,0.1,0.0,1.0,1.0,100.0,0.0,0.0,16.0,109.0,6.8,8.4,21.0,1.0,1.0,0.0,4.0,0.0,0.0
dwayneallen/2533046,2014,TE,Indianapolis Colts,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,395.0,13.6,30.4,41.0,8.0,6.0,1.0,24.0,1.0,0.0
dwayneallen/2533046,2013,TE,Indianapolis Colts,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,20.0,20.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0
dwayneallen/2533046,2012,TE,Indianapolis Colts,16.0,3.0,0.2,5.0,1.7,0.3,0.0,3.0,2.0,66.7,0.0,0.0,45.0,521.0,11.6,32.6,40.0,3.0,9.0,1.0,30.0,1.0,0.0
treyburton/2550284,2017,TE,Philadelphia Eagles,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,248.0,10.8,16.5,27.0,5.0,2.0,0.0,14.0,0.0,0.0
treyburton/2550284,2016,TE,Philadelphia Eagles,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,327.0,8.8,21.8,32.0,1.0,1.0,0.0,20.0,0.0,0.0
treyburton/2550284,2015,TE,Philadelphia Eagles,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,18.0,3.4,43.0,0.0,1.0,1.0,1.0,0.0,0.0
treyburton/2550284,2014,TE,Philadelphia Eagles,15.0,5.0,0.3,10.0,2.0,0.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derekcarrier/2534241,2017,TE,Los Angeles Rams,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,71.0,8.9,5.1,17.0,0.0,0.0,0.0,4.0,0.0,0.0
derekcarrier/2534241,2016,TE,Washington Redskins,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,1.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0
derekcarrier/2534241,2015,TE,Washington Redskins,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,141.0,8.3,11.8,20.0,1.0,2.0,0.0,4.0,0.0,0.0
derekcarrier/2534241,2014,TE,San Francisco 49ers,11.0,1.0,0.1,2.0,2.0,0.2,0.0,2.0,1.0,100.0,0.0,0.0,9.0,105.0,11.7,9.5,23.0,0.0,2.0,0.0,4.0,1.0,0.0
derekcarrier/2534241,2013,TE,San Francisco 49ers,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charlesclay/2495139,2017,TE,Buffalo Bills,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,558.0,11.4,42.9,44.0,2.0,7.0,1.0,29.0,1.0,0.0
charlesclay/2495139,2016,TE,Buffalo Bills,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,552.0,9.7,36.8,40.0,4.0,4.0,1.0,22.0,0.0,0.0
charlesclay/2495139,2015,TE,Buffalo Bills,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,528.0,10.4,40.6,40.0,3.0,9.0,1.0,26.0,1.0,0.0
charlesclay/2495139,2014,TE,Miami Dolphins,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,605.0,10.4,43.2,41.0,3.0,9.0,1.0,31.0,0.0,0.0
charlesclay/2495139,2013,TE,Miami Dolphins,16.0,7.0,0.4,15.0,2.1,0.9,1.0,13.0,2.0,28.6,0.0,0.0,69.0,759.0,11.0,47.4,67.0,6.0,10.0,3.0,36.0,0.0,0.0
charlesclay/2495139,2012,TE,Miami Dolphins,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,212.0,11.8,15.1,31.0,2.0,4.0,0.0,8.0,0.0,0.0
charlesclay/2495139,2011,TE,Miami Dolphins,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,233.0,14.6,16.6,46.0,3.0,6.0,1.0,12.0,0.0,0.0
jaredcook/71265,2017,TE,Oakland Raiders,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,688.0,12.7,43.0,35.0,2.0,10.0,0.0,35.0,1.0,1.0
jaredcook/71265,2016,TE,Green Bay Packers,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,377.0,12.6,37.7,47.0,1.0,6.0,1.0,19.0,1.0,1.0
jaredcook/71265,2015,TE,St. Louis Rams,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,481.0,12.3,30.1,49.0,0.0,7.0,1.0,19.0,2.0,1.0
jaredcook/71265,2014,TE,St. Louis Rams,16.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,634.0,12.2,39.6,59.0,3.0,7.0,1.0,32.0,0.0,0.0
jaredcook/71265,2013,TE,St. Louis Rams,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,671.0,13.2,41.9,47.0,5.0,9.0,1.0,34.0,1.0,1.0
jaredcook/71265,2012,TE,Tennessee Titans,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,523.0,11.9,40.2,61.0,4.0,8.0,1.0,24.0,1.0,1.0
jaredcook/71265,2011,TE,Tennessee Titans,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,759.0,15.5,47.4,80.0,3.0,11.0,2.0,34.0,2.0,2.0
jaredcook/71265,2010,TE,Tennessee Titans,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,361.0,12.4,22.6,36.0,1.0,6.0,0.0,18.0,0.0,0.0
jaredcook/71265,2009,TE,Tennessee Titans,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,8.2,5.3,17.0,0.0,0.0,0.0,5.0,0.0,0.0
vernondavis/2495826,2017,TE,Washington Redskins,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,648.0,15.1,40.5,69.0,3.0,11.0,2.0,23.0,2.0,2.0
vernondavis/2495826,2016,TE,Washington Redskins,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,583.0,13.3,36.4,44.0,2.0,11.0,1.0,22.0,0.0,0.0
vernondavis/2495826,2015,TE,Denver Broncos,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,201.0,10.0,22.3,23.0,0.0,1.0,0.0,11.0,0.0,0.0
vernondavis/2495826,2015,TE,San Francisco 49ers,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,194.0,10.8,32.3,43.0,0.0,3.0,1.0,10.0,0.0,0.0
vernondavis/2495826,2014,TE,San Francisco 49ers,14.0,1.0,0.1,4.0,4.0,0.3,0.0,4.0,0.0,0.0,0.0,0.0,26.0,245.0,9.4,17.5,29.0,2.0,2.0,0.0,11.0,0.0,0.0
vernondavis/2495826,2013,TE,San Francisco 49ers,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,850.0,16.3,56.7,64.0,13.0,16.0,4.0,35.0,1.0,1.0
vernondavis/2495826,2012,TE,San Francisco 49ers,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,548.0,13.4,34.2,53.0,5.0,12.0,1.0,26.0,0.0,0.0
vernondavis/2495826,2011,TE,San Francisco 49ers,16.0,2.0,0.1,-5.0,-2.5,-0.3,0.0,-2.0,0.0,0.0,0.0,0.0,67.0,792.0,11.8,49.5,44.0,6.0,15.0,1.0,33.0,3.0,1.0
vernondavis/2495826,2010,TE,San Francisco 49ers,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,914.0,16.3,57.1,66.0,7.0,16.0,5.0,35.0,0.0,0.0
vernondavis/2495826,2009,TE,San Francisco 49ers,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,965.0,12.4,60.3,73.0,13.0,13.0,3.0,40.0,0.0,0.0
vernondavis/2495826,2008,TE,San Francisco 49ers,16.0,1.0,0.1,11.0,11.0,0.7,0.0,11.0,1.0,100.0,0.0,0.0,31.0,358.0,11.5,22.4,57.0,2.0,5.0,2.0,14.0,2.0,1.0
vernondavis/2495826,2007,TE,San Francisco 49ers,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,509.0,9.8,36.4,31.0,4.0,5.0,0.0,30.0,1.0,1.0
vernondavis/2495826,2006,TE,San Francisco 49ers,10.0,2.0,0.2,5.0,2.5,0.5,0.0,9.0,0.0,0.0,0.0,0.0,20.0,265.0,13.3,26.5,52.0,3.0,5.0,2.0,9.0,1.0,1.0
ericebron/2543466,2017,TE,Detroit Lions,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,574.0,10.8,35.9,44.0,4.0,6.0,1.0,30.0,1.0,1.0
ericebron/2543466,2016,TE,Detroit Lions,13.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,1.0,100.0,0.0,0.0,61.0,711.0,11.7,54.7,61.0,1.0,9.0,1.0,37.0,0.0,0.0
