gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2017-09-10,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,1,09/10,Away,DAL,L,3 to 19,1,0,,,,,,,,,,,,
2017-09-18,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,2,09/18,Home,DET,L,10 to 24,1,0,1.0,38.0,38.0,38.0,0.0,,,,,,,
2017-09-24,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,3,09/24,Away,PHI,L,24 to 27,1,0,,,,,,,,,,,,
2017-10-01,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,4,10/01,Away,TB,L,23 to 25,1,0,,,,,,,,,,,,
2017-10-08,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,5,10/08,Home,LAC,L,22 to 27,1,0,1.0,11.0,11.0,11.0,0.0,,,,,,,
2017-10-15,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,6,10/15,Away,DEN,W,23 to 10,1,0,1.0,6.0,6.0,6.0,0.0,,,,,,,
2017-10-22,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,7,10/22,Home,SEA,L,7 to 24,1,0,,,,,,,,,,,,
2017-11-05,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,9,11/05,Home,LA,L,17 to 51,1,0,,,,,,,,,,,,
2017-11-12,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,10,11/12,Away,SF,L,21 to 31,1,1,,,,,,,,,,,,
2017-11-19,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,11,11/19,Home,KC,W,12 to 9,1,0,1.0,6.0,6.0,6.0,0.0,,,,,,,
2017-11-23,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,12,11/23,Away,WAS,L,10 to 20,1,0,,,,,,,,,,,,
2017-12-03,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,13,12/03,Away,OAK,L,17 to 24,1,0,,,,,,,,,,,,
2017-12-10,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,14,12/10,Home,DAL,L,10 to 30,1,0,,,,,,,,,,,,
2017-12-17,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,15,12/17,Home,PHI,L,29 to 34,1,0,,,,,,,,,,,,
2017-12-24,jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,16,12/24,Away,ARI,L,0 to 23,1,0,4.0,31.0,7.8,11.0,0.0,,,,,,,
