gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2017-09-10,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,1,09/10,Home,SEA,W,17 to 9,1,1,3.0,47.0,15.7,21.0,0.0,,,,,,,
2017-09-17,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,2,09/17,Away,ATL,L,23 to 34,1,1,8.0,99.0,12.4,33.0,1.0,,,,,,,
2017-09-24,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,3,09/24,Home,CIN,W,27 to 24,1,1,3.0,60.0,20.0,41.0,0.0,,,,,,,
2017-09-28,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,4,09/28,Home,CHI,W,35 to 14,1,1,2.0,13.0,6.5,8.0,1.0,,,,,,,
2017-10-08,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,5,10/08,Away,DAL,W,35 to 31,1,1,7.0,66.0,9.4,14.0,2.0,,,,,,,
2017-10-15,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,6,10/15,Away,MIN,L,10 to 23,1,1,5.0,54.0,10.8,19.0,1.0,,,,,,,
2017-10-22,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,7,10/22,Home,NO,L,17 to 26,1,1,2.0,12.0,6.0,8.0,0.0,,,,,,,
2017-11-06,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,9,11/06,Home,DET,L,17 to 30,1,1,7.0,53.0,7.6,9.0,0.0,,,,,,,
2017-11-12,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,10,11/12,Away,CHI,W,23 to 16,1,1,5.0,90.0,18.0,42.0,1.0,,,,,,,
2017-11-19,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,11,11/19,Home,BAL,L,0 to 23,1,1,8.0,126.0,15.8,33.0,0.0,,,,,,,
2017-11-26,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,12,11/26,Away,PIT,L,28 to 31,1,1,5.0,82.0,16.4,55.0,1.0,,,,,,,
2017-12-03,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,13,12/03,Home,TB,W,26 to 20,1,1,4.0,42.0,10.5,14.0,0.0,,,,,,,
2017-12-10,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,14,12/10,Away,CLE,W,27 to 21,1,1,10.0,84.0,8.4,25.0,2.0,,,,,,,
2017-12-17,davanteadams/2543495,"Adams, Davante",WR,2017,Regular Season,15,12/17,Away,CAR,L,24 to 31,1,1,5.0,57.0,11.4,13.0,1.0,,,,,,,
